[-1.53091159 -0.35588955]
[-1.14220855 -0.91560917]
[-1.63736953 -0.48220057]
[-1.12097894 -1.36290605]
[-1.47262226 -0.94493921]
[-0.43855564 -0.3583164 ]
[-1.37287768 -0.21947179]
[-1.37853533 -0.34218327]
[-1.44077338  3.01704472]
[-0.68046206  0.07991935]
[-1.63012669  0.25916891]
[-1.58287606  1.06110437]
[-0.89679116 -0.36259168]
[-1.46469394  4.03375755]
[-1.39540918 -0.21612728]
[-1.13702576  1.85933596]
[-1.62082662 -0.75293644]
[-1.47526834 -0.48169786]
[-1.57024005  0.07394874]
[-0.6825829  -0.51387518]
[-1.58343196  0.72781401]
[-1.75192732 -0.41665265]
[-1.78319437 -1.37240775]
[-1.75791572  0.89733916]
[-1.33965381  0.19700242]
[-1.37381627 -1.33685387]
[-1.69511035 -0.39464553]
[-0.64139485  0.99380743]
[-1.46263593  0.19002323]
[-0.92686196  0.2107848 ]
[-1.58324049  2.30608231]
[-0.73362369  0.51679894]
[-1.04055785 -1.00346008]
[-1.16467399  0.30368682]
[-1.56542059  0.53895977]
[-0.93304795 -1.89933238]
[-1.48693973  0.1636773 ]
[-0.84654226  0.93342008]
[-1.07487269 -0.31471205]
[-1.43122881 -0.42956207]
[-1.63051808e+00  2.80439789e-04]
[-1.02262141  0.6561968 ]
[-1.72598337  0.5816493 ]
[-1.65314106  0.36578789]
[-1.7589455 -1.0018866]
[-1.24089861  0.84156398]
[-1.62742261 -0.58298671]
[-1.72741807 -0.46948405]
[-1.45427935 -0.60034531]
[-1.02164138  0.92305767]
[-1.80915775 -0.43232372]
[-1.85159328 -0.57030641]
[-1.17807281  1.84836199]
[-1.0539976   1.42281267]
[-1.54088828 -0.48117516]
[-0.84981355 -0.01827165]
[-1.42579769  2.01189092]
[-1.56815846 -0.37465439]
[-1.60558409  0.7932286 ]
[-1.56790076  0.37705432]
[-1.75831707 -1.06499625]
[-0.7656789  -0.17414627]
[-1.44427492  0.47853816]
[-1.04999839  3.21992619]
[-1.21608128 -0.52457324]
[-1.06517856 -2.19898397]
[-1.56177531  0.38882318]
[-0.89794897  0.2820457 ]
[-1.36845595  0.35353566]
[-0.82031353  3.64598315]
[-1.46218931 -0.45610578]
[-1.52719626  0.17578646]
[-1.22295366  0.5817137 ]
[-1.8753754   0.90881085]
[-0.89198192  0.62679599]
[-1.74358225 -0.12104628]
[-1.4754558   0.05556886]
[-0.86071818 -1.18502663]
[-1.59987931  0.1083793 ]
[-1.31722845  0.30434088]
[-1.35790458  1.04371229]
[-0.61746431  1.01485528]
[-1.57063265  0.64371697]
[-1.91214605 -1.356689  ]
[-1.78911734  0.37812441]
[-1.02721307 -0.05003074]
[-1.61919495 -1.21603615]
[-1.17432555 -1.19739533]
[-0.8827163   0.43133129]
[-1.65298227  0.43575811]
[-1.34133895  2.62222444]
[-1.53699118 -1.15483505]
[-1.34304635 -0.54462513]
[-1.77360178 -0.58670814]
[-1.57853451  0.58513212]
[-1.20048317  0.03735934]
[-1.21024675 -0.66652766]
[-0.53956013 -1.30499947]
[-0.76627824 -0.0837421 ]
[-1.24039119  1.55873534]
[-1.39999911  2.41731611]
[-1.68138178 -0.30103161]
[-1.89986253 -0.52998127]
[-1.78384314  0.00917286]
[-0.36615388 -1.32215408]
[-1.59456643 -0.79289282]
[-1.29210414 -1.24908416]
[-1.17648868  0.09981007]
[-1.7306095 -1.0831366]
[-1.07399619  0.00509258]
[-1.83142522 -1.23126772]
[-1.12023881 -1.49221031]
[-1.59309588 -0.13280117]
[-1.27425707  0.66964534]
[-1.2578965   0.10251126]
[-1.40960373 -0.05051839]
[-1.41161506 -0.46944692]
[-0.96472522 -0.86401491]
[-1.46286968 -0.23704964]
[-1.3985153   0.24921163]
[-1.08096231  1.3765101 ]
[-1.66760359  0.09952177]
[-1.23697039 -0.87521732]
[-1.27937727  0.13412244]
[-1.97851332 -0.39801231]
[-1.63137945 -1.31804643]
[-1.29408231  0.43133801]
[-1.40609394 -0.17965067]
[-1.34943668 -1.02684009]
[-1.54677882  0.18017296]
[-1.56864077 -1.9444005 ]
[-1.69658962 -1.01572979]
[-0.80672365  0.14914699]
[-1.64153679  0.00576113]
[-1.70303762 -0.10683083]
[-1.67176053 -0.60191386]
[-1.78134246 -0.25231917]
[-1.41880303  0.05136253]
[-1.51341293 -0.99302719]
[-1.34822134 -0.50476436]
[-1.72494977  0.02431096]
[-1.04294949 -0.7079022 ]
[-1.68783446  0.47794043]
[-1.23789207  0.37802365]
[-1.76288761 -0.4201765 ]
[-1.25731714  0.58469576]
[-0.84811082 -1.54054141]
[-1.37615478 -0.833905  ]
[-1.47244438 -0.54403443]
[-1.50097848 -0.98643152]
[-1.30098267  0.96232901]
[-1.33251025  0.90962009]
[-1.65583764 -0.62161769]
[-1.35130029  0.62840602]
[-1.02877191  0.36475303]
[-1.38280628  2.35491971]
[-0.57936826 -0.59816978]
[-0.97575779 -0.14544534]
[-1.30997182 -0.35090943]
[-1.845269   -0.42538493]
[-1.06655557 -0.79812516]
[-1.37912747 -0.19938577]
[-0.99881777 -2.07691884]
[-1.3255591   0.68596471]
[-1.28106617  0.15257214]
[-1.66635215 -0.30690055]
[-1.50540885  0.51817045]
[-1.73029277 -0.42923074]
[-1.11999294  3.98205254]
[-1.09070535  3.3264298 ]
[-1.649209   -0.16343296]
[-1.69600317 -1.53213481]
[-1.18803569 -0.25753294]
[-1.2200616   0.72985378]
[-0.94184776 -0.15223487]
[-1.64042958 -1.70164738]
[-1.17174149 -0.09829639]
[-1.65486469  1.08964207]
[-1.47195134 -1.22394931]
[-0.46348914  5.089892  ]
[-0.76050216  0.40539886]
[-1.40810096  0.64056072]
[-0.64346603  0.90168017]
[-0.80723139 -0.36207976]
[-1.70962473  0.43490361]
[-1.47713427 -1.37787843]
[-1.6205478   1.08030412]
[-1.09537071  1.07200391]
[-1.04033698 -0.71384769]
[-1.52298512 -0.50632874]
[-1.95152201  0.09366955]
[-1.3578278   0.94632859]
[-1.33622182 -1.07387821]
[-1.41767549 -1.0485653 ]
[-1.55503016  0.85428717]
[-1.31247885 -0.31141273]
[-1.64133971  0.72238586]
[-1.50226111  0.30381614]
[-1.68083435 -0.88042959]
[-1.61247197  0.38151301]
[-0.8626093   1.31164418]
[-1.8225163  -0.77455803]
[-1.65339463 -1.23811816]
[-1.26687788  0.3432617 ]
[-1.27616543 -1.1155238 ]
[-1.66492841  1.19446045]
[-1.39276942  0.11720741]
[-1.22290042 -0.36800893]
[-1.64606926 -1.0339137 ]
[-1.69815812  0.08282992]
[-1.91371496 -0.01579596]
[-1.21999181 -0.28651668]
[-1.36372125  0.2985093 ]
[-1.68495186 -0.29423203]
[-1.79852004 -1.01949028]
[-1.0870779   0.12077769]
[-1.77461377  0.98235469]
[-1.71930929 -1.02093131]
[-1.84379847  0.19914557]
[-1.7252133  -0.86657392]
[-1.88422597  0.33210409]
[-1.80360989 -0.66962804]
[-1.86525285 -0.98194306]
[-1.67881534  0.08868346]
[-1.7824957  -0.76253508]
[-0.85971304 -0.50279237]
[-1.52008414 -0.41663334]
[-1.39378925  0.95223469]
[-1.18663567 -0.39841786]
[-1.42341809  1.45771107]
[-1.68109949 -0.84084932]
[-0.72166404 -0.31623798]
[-1.52019351  0.72483858]
[-1.81376326 -1.02014105]
[-1.28048687  2.13585499]
[-1.49660744  0.1036096 ]
[-0.58858413  0.71354988]
[-1.10111971 -2.47401107]
[-1.34630696 -0.33449324]
[-1.37260611  0.78600456]
[-1.23342283  0.13991412]
[-1.37495848 -0.18477818]
[-1.51642598 -1.480544  ]
[-1.60128836  0.19163554]
[-1.69074817  0.19104306]
[-1.23112699 -0.98541195]
[-1.34173295 -1.19680858]
[-1.55401648  0.4716751 ]
[-1.28408844 -0.94662584]
[-1.60713237 -0.27617009]
[-1.45620572  1.59259662]
[-1.12615187  0.40122422]
[-1.23494833 -0.02955311]
[-1.46332179 -0.79683665]
[-1.69130251  2.10985944]
[-1.52199293 -0.99427748]
[-1.73423568 -0.35555224]
[-1.66757031 -0.5489123 ]
[-1.17558694  3.93392532]
[-0.9952455   0.22753646]
[-1.52915199 -0.72878839]
[-1.27763621  1.09115943]
[-1.79095067 -1.31046062]
[-1.54010329 -0.04726041]
[-1.58247363 -0.97136866]
[-1.93154841  0.0996062 ]
[-1.78535708 -0.94678554]
[-1.70810263  0.24447765]
[-0.77295021  0.03722566]
[-0.71660276  1.3242168 ]
[-1.53375114  0.83801887]
[-1.42074072 -0.73463545]
[-1.49942273  0.97394147]
[-1.06171469  0.02794488]
[-1.18441104  0.55720714]
[-0.58471009 -0.10112146]
[-1.60476045  0.40118969]
[-1.72986582 -1.89570935]
[-1.75357706 -1.80073091]
[-1.54396619  0.38481903]
[-1.13028726 -0.13946718]
[-1.48903153 -0.26799702]
[-1.63600539 -0.74609739]
[-1.51464258 -0.52529794]
[-1.423513   -0.21113802]
[-1.67696642 -0.09147383]
[-1.75597262 -0.88580178]
[-1.31966063  0.32690606]
[-1.57028826 -0.75391491]
[-1.3593684 -0.7380982]
[-1.82530403 -0.10752203]
[-1.61914882 -0.29729172]
[-0.88452411  0.15597859]
[-1.40718657  3.4893509 ]
[-0.65355111  1.51339287]
[-0.82144567 -0.43466367]
[-1.54312891 -0.01048198]
[-1.78850125 -1.31110037]
[-0.73342634 -0.89433867]
[-1.32501156  0.58254819]
[-1.14607087 -1.44021608]
[-1.54962237  0.85761256]
[-1.14016952  0.32895733]
[-1.11711616 -1.00872829]
[-1.47369837 -0.09444845]
[-1.12922342 -1.47508501]
[-1.24151201  0.45296993]
[-1.21546594  1.32387555]
[-0.23347579 -0.20567971]
[-1.00841393 -1.24444801]
[-1.66942182  0.7449797 ]
[-1.25733617 -0.11049653]
[-1.33826846 -0.19091132]
[-1.69090913  1.18693505]
[-1.45092098  0.67500209]
[-1.32112014 -1.30352877]
[-1.31003343 -0.04299654]
[-1.63788775  0.85656158]
[-1.069669    2.30421155]
[-1.29639826 -0.13525939]
[-1.20005392  0.68630441]
[-1.48993122 -0.83815753]
[-1.6746011   0.67245935]
[-0.94746829  0.49216217]
[-1.52716322 -1.18151403]
[-1.07577914 -0.87612056]
[-1.9079135  -0.45011938]
[-1.36926642  0.14071411]
[-1.30613598  1.37847168]
[-1.54871693  1.52547363]
[-1.45994281  0.53590187]
[-1.53881893  0.80028774]
[-1.55283741  1.1137446 ]
[-0.69183026 -0.17294962]
[-1.87550421 -0.46700593]
[-1.51786627  0.53870218]
[-1.43321135 -0.69133694]
[-1.39783856 -0.72007926]
[-1.29535978 -1.08913671]
[-1.14554748  0.87443712]
[-1.41203902  0.07411982]
[-0.0624197   0.71928398]
[-1.41263424 -0.95875084]
[-1.41515489  0.31091768]
[-1.07462865 -0.71488219]
[-1.16665866  0.25715898]
[-1.29386566 -0.95340824]
[-0.36862436 -0.97307623]
[-1.04960313  0.39688932]
[-0.43236745 -0.05112854]
[-0.31492168 -0.56697893]
[-0.60246296  1.03238591]
[-1.03484057 -0.37028484]
[-1.57440008 -0.14987152]
[-1.00405621  0.20912238]
[-1.19090697  0.86410725]
[-1.57606994  0.20297409]
[-0.81314381 -0.66583346]
[-1.6483063  -0.82214923]
[-0.86034167 -0.4549183 ]
[-1.30341074  0.22025665]
[-1.36998274 -0.36129384]
[-1.56158484  0.47004154]
[-0.93120181  0.66894396]
[-0.99745114 -0.86064301]
[-1.64770431 -0.31914978]
[-1.20839056  0.37668668]
[-1.38080401 -0.78183746]
[-0.9059943   0.75471104]
[-1.37616284  0.13821337]
[-1.44194442  2.21845092]
[-1.62664761 -0.64645442]
[-1.86134035 -0.59554406]
